regime,N,B,C,C_over_N,mean_SA,sd_SA_pooled,sd_SA_within,mean_LA,mean_MA,cross_sd
uniform,20,30,1,0.0500,14.4893,5.1213,3.9899,18.7241,16.3389,3.2604
uniform,20,30,2,0.1000,24.3007,7.0980,5.6291,30.7569,25.9326,6.4514
uniform,20,30,3,0.1500,31.5472,8.7422,6.9449,39.5339,33.0083,8.9324
uniform,20,30,4,0.2000,38.1554,10.5587,8.2742,44.7925,39.2921,10.2755
uniform,20,30,5,0.2500,44.0814,12.1640,9.5647,50.4879,45.6818,11.9617
uniform,20,30,6,0.3000,49.0219,13.3595,10.4381,53.0104,49.7429,12.1644
uniform,20,30,7,0.3500,53.8177,14.8694,11.3924,56.0784,54.3338,12.8168
uniform,20,30,8,0.4000,57.6655,15.7114,11.8335,58.6778,57.7061,12.9571
uniform,20,30,9,0.4500,60.8728,16.3713,12.5943,59.9530,60.0985,12.9226
uniform,20,30,10,0.5000,65.2225,17.2077,13.0819,63.7649,63.8751,13.3306
uniform,20,30,11,0.5500,67.3839,17.3665,13.2603,65.1829,65.2168,12.6801
uniform,20,30,12,0.6000,68.5221,17.5533,13.0480,65.5701,66.6274,12.8732
uniform,20,30,13,0.6500,69.4479,18.2363,13.5001,66.7255,68.0114,12.6218
uniform,20,30,14,0.7000,70.9055,18.3257,12.9493,68.2382,70.0148,12.5832
uniform,20,30,15,0.7500,71.5801,18.4582,13.1839,69.6781,71.7831,12.2246
uniform,20,30,16,0.8000,72.0474,18.6358,13.3714,70.7288,73.1427,11.9772
uniform,20,30,17,0.8500,71.8764,18.6618,13.4945,71.5473,73.8396,11.6796
uniform,20,30,18,0.9000,71.4088,18.8358,13.6372,72.0118,75.1974,11.9013
uniform,20,30,19,0.9500,71.6210,19.2369,13.6675,72.4551,76.2934,11.6499
uniform,20,50,1,0.0500,13.8669,4.6465,3.3738,18.1644,15.7494,3.1899
uniform,20,50,2,0.1000,23.5982,6.5963,4.8852,30.5225,25.1245,6.3266
uniform,20,50,3,0.1500,31.5977,8.6292,6.4833,39.6157,32.7437,8.8021
uniform,20,50,4,0.2000,38.0767,9.9588,7.3015,44.4307,39.2639,10.1488
uniform,20,50,5,0.2500,44.0126,11.3933,8.4285,50.1569,45.3254,11.6271
uniform,20,50,6,0.3000,49.3507,13.0281,9.6255,52.9739,50.8507,12.4068
uniform,20,50,7,0.3500,53.4399,14.4209,10.5652,55.6658,54.1814,12.8287
uniform,20,50,8,0.4000,57.8764,15.6040,11.3267,58.7387,57.5247,12.8391
uniform,20,50,9,0.4500,60.5629,16.8970,12.1657,59.5642,59.9650,13.1879
uniform,20,50,10,0.5000,64.6959,17.3794,12.4752,62.8434,63.6865,12.9049
uniform,20,50,11,0.5500,66.4036,17.5709,12.2944,64.2167,64.9764,12.7710
uniform,20,50,12,0.6000,68.8285,17.9003,12.1693,65.6004,66.8398,13.0124
uniform,20,50,13,0.6500,69.4373,18.1489,11.7052,67.0651,68.6432,12.2752
uniform,20,50,14,0.7000,69.9851,18.1660,12.0899,67.3173,69.8235,12.5315
uniform,20,50,15,0.7500,72.1364,18.4364,11.6119,69.4570,72.1084,11.8774
uniform,20,50,16,0.8000,71.4772,18.5501,11.8951,69.7452,72.7597,11.8740
uniform,20,50,17,0.8500,70.8319,18.9584,12.2050,70.2394,74.1295,12.0822
uniform,20,50,18,0.9000,72.2672,19.0061,12.0614,71.5180,75.9860,11.6642
uniform,20,50,19,0.9500,70.7465,19.1649,12.3500,72.2011,76.8102,11.7861
uniform,20,80,1,0.0500,13.6075,4.3592,2.9113,17.9641,15.4427,3.1723
uniform,20,80,2,0.1000,23.3508,6.6019,4.5599,30.6952,25.1511,6.4968
uniform,20,80,3,0.1500,31.0277,8.3007,5.7295,38.9216,32.2400,8.6588
uniform,20,80,4,0.2000,38.0485,9.8127,6.8463,45.5638,39.2185,10.3776
uniform,20,80,5,0.2500,44.0883,11.1690,7.6155,50.6710,45.2619,11.4176
uniform,20,80,6,0.3000,49.4692,12.8489,8.6332,53.1686,50.3427,12.0015
uniform,20,80,7,0.3500,54.2394,14.4055,9.5725,56.6279,54.8973,12.7128
uniform,20,80,8,0.4000,57.6960,15.5430,10.1200,58.8615,57.9776,12.9842
uniform,20,80,9,0.4500,61.9268,15.8802,10.3314,61.1807,61.9004,12.9924
uniform,20,80,10,0.5000,63.8516,17.6340,11.4981,61.8132,63.5246,13.3944
uniform,20,80,11,0.5500,66.4203,17.3343,10.8806,64.1669,64.9526,12.5459
uniform,20,80,12,0.6000,68.9743,17.8065,11.4048,65.5159,67.5236,12.8012
uniform,20,80,13,0.6500,69.4870,17.9457,11.0287,66.5174,68.4060,12.6030
uniform,20,80,14,0.7000,71.3061,18.2040,10.5029,67.5213,70.2864,12.3707
uniform,20,80,15,0.7500,71.0586,19.0073,11.2346,68.6674,71.4044,12.5247
uniform,20,80,16,0.8000,71.4809,19.0513,11.0962,68.8067,73.4038,12.0656
uniform,20,80,17,0.8500,71.1789,19.0100,10.7651,69.9498,74.1743,11.6429
uniform,20,80,18,0.9000,71.0862,19.1956,11.4835,70.7551,76.0182,11.8630
uniform,20,80,19,0.9500,71.6638,19.4158,11.0926,72.0480,77.9684,11.8744
uniform,20,100,1,0.0500,13.6824,4.3586,2.7769,18.4451,15.6972,3.2673
uniform,20,100,2,0.1000,23.2402,6.2344,4.1533,29.7221,24.6580,6.0750
uniform,20,100,3,0.1500,31.0760,8.0553,5.3203,39.7740,32.6018,8.9024
uniform,20,100,4,0.2000,38.2822,9.7371,6.5664,45.9849,39.9160,10.4454
uniform,20,100,5,0.2500,43.8599,10.8290,7.2385,49.9826,45.1940,11.3950
uniform,20,100,6,0.3000,48.9293,12.8635,8.2569,52.8571,49.7542,12.2610
uniform,20,100,7,0.3500,53.8183,14.3085,9.0506,54.6460,54.2735,12.6974
