regime,N,C,C_over_N,strat,mean_profit,mean_walk,mean_active,mean_maxshare
leontief,20,1,0.0500,SA,-3.3850,18.89,19.973,0.0808
leontief,20,1,0.0500,LA,-3.0049,20.94,19.984,0.0800
leontief,20,1,0.0500,MA,-3.1212,20.24,19.981,0.0802
leontief,20,2,0.1000,SA,-1.2262,19.16,20.000,0.0738
leontief,20,2,0.1000,LA,-0.4484,41.36,20.000,0.0710
leontief,20,2,0.1000,MA,-0.8325,28.31,20.000,0.0726
leontief,20,3,0.1500,SA,-0.4393,18.57,20.000,0.0700
leontief,20,3,0.1500,LA,-0.0246,59.54,20.000,0.0695
leontief,20,3,0.1500,MA,-0.1572,31.64,20.000,0.0695
leontief,20,5,0.2500,SA,0.1392,17.18,20.000,0.0672
leontief,20,5,0.2500,LA,0.0928,94.75,20.000,0.0683
leontief,20,5,0.2500,MA,0.2043,34.39,20.000,0.0675
uniform,20,1,0.0500,SA,13.8310,30.77,10.347,0.2018
uniform,20,1,0.0500,LA,18.3361,63.96,8.014,0.2569
uniform,20,1,0.0500,MA,15.7483,41.43,9.306,0.2213
uniform,20,2,0.1000,SA,23.4921,42.84,7.078,0.2831
uniform,20,2,0.1000,LA,30.0316,139.69,4.966,0.4181
uniform,20,2,0.1000,MA,24.9569,65.68,6.282,0.3137
uniform,20,3,0.1500,SA,31.7085,49.19,5.431,0.3610
uniform,20,3,0.1500,LA,39.9158,217.23,3.765,0.5481
uniform,20,3,0.1500,MA,33.0099,82.87,4.806,0.3960
uniform,20,5,0.2500,SA,44.1128,56.14,3.756,0.5041
uniform,20,5,0.2500,LA,49.1962,394.98,2.696,0.6955
uniform,20,5,0.2500,MA,45.6346,109.79,3.220,0.5599
allpos,20,1,0.0500,SA,34.4259,27.59,10.193,0.1986
allpos,20,1,0.0500,LA,38.0699,60.38,7.389,0.2651
allpos,20,1,0.0500,MA,35.5178,35.35,9.220,0.2166
allpos,20,2,0.1000,SA,40.2870,38.71,6.919,0.2739
allpos,20,2,0.1000,LA,46.9178,134.92,4.331,0.4401
allpos,20,2,0.1000,MA,41.2395,57.13,6.101,0.3017
allpos,20,3,0.1500,SA,45.4985,44.48,5.296,0.3470
allpos,20,3,0.1500,LA,55.0945,213.71,3.131,0.5959
allpos,20,3,0.1500,MA,46.5891,73.35,4.567,0.3838
allpos,20,5,0.2500,SA,53.8166,50.27,3.631,0.4757
allpos,20,5,0.2500,LA,62.8658,374.48,2.229,0.7508
allpos,20,5,0.2500,MA,55.3887,97.10,3.040,0.5350
signed,20,1,0.0500,SA,-10.8723,22.45,10.402,0.1878
signed,20,1,0.0500,LA,-4.4295,50.61,7.176,0.2667
signed,20,1,0.0500,MA,-9.5573,27.13,9.607,0.2039
signed,20,2,0.1000,SA,-3.0826,32.48,7.122,0.2566
signed,20,2,0.1000,LA,11.0592,119.79,4.016,0.4460
signed,20,2,0.1000,MA,-1.4998,45.82,6.342,0.2801
signed,20,3,0.1500,SA,4.1731,37.96,5.472,0.3221
signed,20,3,0.1500,LA,27.8209,195.24,2.864,0.6268
signed,20,3,0.1500,MA,6.0699,60.59,4.736,0.3551
signed,20,5,0.2500,SA,16.8063,43.96,3.725,0.4402
signed,20,5,0.2500,LA,46.2365,316.91,1.999,0.8232
signed,20,5,0.2500,MA,19.7208,82.24,3.123,0.4943
