regime,N,B,C,C_over_N,npoints,mean_nopt,frac_opt,ratio_SA,ratio_LA,ratio_MA,cross_sd
uniform,8,20,1,0.1250,888030,4817.3700,0.00542478,0.6543,0.6840,0.6721,0.0281
uniform,8,20,2,0.2500,888030,565.2800,0.000636555,0.7390,0.7819,0.7590,0.0638
uniform,8,20,3,0.3750,888030,131.5400,0.000148126,0.8431,0.8464,0.8393,0.0657
uniform,8,20,4,0.5000,888030,57.3800,6.46149e-05,0.8701,0.8560,0.8568,0.0670
uniform,8,20,5,0.6250,888030,23.1750,2.60971e-05,0.9036,0.8825,0.8825,0.0603
uniform,8,20,6,0.7500,888030,8.5300,9.60553e-06,0.9210,0.9092,0.9172,0.0529
uniform,8,20,7,0.8750,888030,3.4700,3.90753e-06,0.9204,0.9160,0.9335,0.0520
signed,8,20,1,0.1250,888030,13028.3150,0.014671,0.2174,0.3292,0.2525,0.0658
signed,8,20,2,0.2500,888030,1812.2750,0.00204078,0.3584,0.6016,0.4067,0.1579
signed,8,20,3,0.3750,888030,561.3000,0.000632073,0.4841,0.7217,0.5467,0.1852
signed,8,20,4,0.5000,888030,259.2800,0.000291972,0.6168,0.7344,0.6692,0.1677
signed,8,20,5,0.6250,888030,118.8000,0.000133779,0.7044,0.7663,0.7280,0.1451
signed,8,20,6,0.7500,888030,44.1650,4.97337e-05,0.8109,0.8011,0.8087,0.1230
signed,8,20,7,0.8750,888030,7.9900,8.99744e-06,0.8624,0.8282,0.8735,0.1036
leontief,8,20,1,0.1250,888030,62.9550,7.08929e-05,0.9948,0.9954,0.9953,0.0005
leontief,8,20,2,0.2500,888030,7.7450,8.72155e-06,0.9987,0.9992,0.9992,0.0008
leontief,8,20,3,0.3750,888030,3.1100,3.50213e-06,0.9997,0.9995,0.9996,0.0004
leontief,8,20,4,0.5000,888030,1.9650,2.21276e-06,0.9999,0.9996,0.9997,0.0002
leontief,8,20,5,0.6250,888030,1.4050,1.58215e-06,1.0000,0.9999,0.9998,0.0001
leontief,8,20,6,0.7500,888030,1.1350,1.27811e-06,1.0000,0.9999,0.9999,0.0000
leontief,8,20,7,0.8750,888030,1.0050,1.13172e-06,1.0000,1.0000,1.0000,0.0000
uniform,6,18,1,0.1667,33649,436.4775,0.0129715,0.6845,0.7257,0.7094,0.0353
uniform,6,18,2,0.3333,33649,72.4300,0.00215252,0.8096,0.8330,0.8217,0.0644
uniform,6,18,3,0.5000,33649,22.7875,0.000677212,0.8905,0.8769,0.8773,0.0615
uniform,6,18,4,0.6667,33649,7.9275,0.000235594,0.9225,0.9071,0.9120,0.0530
uniform,6,18,5,0.8333,33649,2.7200,8.08345e-05,0.9425,0.9329,0.9485,0.0432
