topo,N,C,C_over_N,outdeg,mean_SA,mean_LA,mean_MA,cross_sd
0,20,1,0.0500,1.0000,14.0303,18.5692,15.9264,3.2638
0,20,2,0.1000,2.0000,23.8940,30.4416,25.5068,6.2512
0,20,3,0.1500,3.0000,31.7257,40.1796,32.9801,8.9205
0,20,4,0.2000,4.0000,37.7890,45.2258,39.3108,10.4083
0,20,5,0.2500,5.0000,43.6248,49.4623,45.4367,11.4659
0,20,6,0.3000,6.0000,49.2175,53.0126,50.5296,12.4347
0,20,7,0.3500,7.0000,53.4743,55.2766,54.2696,12.5544
0,20,8,0.4000,8.0000,57.3846,59.0083,58.3321,12.9501
0,20,9,0.4500,9.0000,61.8892,61.2327,61.4484,13.5222
0,20,10,0.5000,10.0000,64.7666,62.3195,63.1330,13.2251
0,20,11,0.5500,11.0000,66.9012,64.2163,65.3237,13.0285
0,20,12,0.6000,12.0000,68.3034,65.4935,67.1228,12.6094
0,20,13,0.6500,13.0000,69.5583,66.5058,68.4247,12.4348
0,20,14,0.7000,14.0000,70.5200,67.8291,70.3248,12.4867
0,20,15,0.7500,15.0000,70.7354,68.5304,71.6973,12.2554
0,20,16,0.8000,16.0000,71.0574,69.7865,72.6715,12.1546
0,20,17,0.8500,17.0000,71.8753,70.5770,74.8992,11.9316
0,20,18,0.9000,18.0000,71.7697,71.5485,76.0879,11.8864
0,20,19,0.9500,19.0000,71.0226,71.9509,76.8713,11.6271
1,20,1,0.0500,2.0000,21.3592,20.1054,19.9829,3.6996
1,20,2,0.1000,4.0000,34.0361,32.3363,31.8741,6.0091
1,20,3,0.1500,6.0000,43.3720,41.4717,41.1620,8.1836
1,20,4,0.2000,8.0000,50.9943,49.3403,49.0763,9.7498
1,20,5,0.2500,10.0000,58.3216,54.8028,56.2680,11.4276
1,20,6,0.3000,12.0000,64.0108,60.4737,61.3086,12.1028
1,20,7,0.3500,14.0000,68.3420,64.0862,67.0873,12.6424
1,20,8,0.4000,16.0000,71.5767,68.3089,71.4874,12.4510
1,20,9,0.4500,18.0000,71.3083,70.5822,74.4999,11.5559
1,20,10,0.5000,20.0000,70.9747,71.8324,76.8021,11.7622
1,20,11,0.5500,22.0000,71.3747,72.3301,76.7871,11.4791
1,20,12,0.6000,24.0000,70.8574,71.7117,76.4747,11.6689
1,20,13,0.6500,26.0000,71.6951,72.4848,77.1382,11.6841
1,20,14,0.7000,28.0000,71.8826,72.5592,77.1792,11.4850
1,20,15,0.7500,30.0000,71.1862,72.3683,76.9436,11.7456
1,20,16,0.8000,32.0000,71.4567,72.3202,77.1401,11.6062
1,20,17,0.8500,34.0000,71.5923,71.8947,76.7213,11.5567
1,20,18,0.9000,36.0000,71.9873,72.2009,77.2138,11.7828
1,20,19,0.9500,38.0000,71.2723,71.9834,76.8319,11.6482
2,20,1,0.0500,1.0000,15.9297,21.3134,18.1228,4.0637
2,20,2,0.1000,2.0000,28.0675,33.1762,28.9471,7.7902
2,20,3,0.1500,3.0000,35.9039,39.8702,35.8636,9.5922
2,20,4,0.2000,4.0000,42.3009,44.8282,41.4400,10.6678
2,20,5,0.2500,5.0000,48.1167,49.0543,46.4705,11.6173
2,20,6,0.3000,6.0000,51.7960,52.0441,50.1809,11.8084
2,20,7,0.3500,7.0000,55.3661,54.9346,53.6736,12.3018
2,20,8,0.4000,8.0000,58.3389,57.1217,56.0943,12.6962
2,20,9,0.4500,9.0000,61.2722,60.3367,59.6416,12.5674
2,20,10,0.5000,10.0000,63.1992,61.3680,61.5389,12.9213
2,20,11,0.5500,11.0000,65.6460,63.6446,64.1425,12.6716
2,20,12,0.6000,12.0000,66.5421,64.8002,65.5837,12.7577
2,20,13,0.6500,13.0000,68.4944,66.2793,68.2125,12.7939
2,20,14,0.7000,14.0000,69.4624,67.1614,69.9229,12.3531
2,20,15,0.7500,15.0000,70.1004,68.2498,71.3185,12.3778
2,20,16,0.8000,16.0000,70.4081,68.8856,73.0642,12.0857
2,20,17,0.8500,17.0000,71.5525,70.1888,74.2433,11.6040
2,20,18,0.9000,18.0000,71.5858,71.8913,76.0393,11.6669
2,20,19,0.9500,19.0000,71.7592,72.2298,77.4747,11.4409
