regime,N,C,C_over_N,mean_SA,sd_SA_pooled,sd_SA_within,mean_LA,mean_MA,cross_sd
uniform,4,1,0.2500,33.6906,22.4019,6.0473,40.5473,39.1454,5.1396
uniform,4,2,0.5000,53.2723,27.5166,5.3233,51.1475,50.7095,6.1311
uniform,4,3,0.7500,60.4921,29.4085,3.5014,59.3802,60.1519,3.1246
uniform,5,1,0.2000,28.5510,17.2795,6.6154,34.9365,33.1410,5.1395
uniform,5,2,0.4000,50.7903,22.6531,6.3800,53.5693,52.1937,8.4186
uniform,5,3,0.6000,59.7890,25.2062,6.5377,57.2344,57.4107,6.5173
uniform,5,4,0.8000,61.5839,25.8860,4.9738,60.4925,62.3946,4.1560
uniform,6,1,0.1667,25.4612,14.7400,5.7842,31.7564,30.1784,4.8074
uniform,6,2,0.3333,44.1919,21.2451,7.2454,48.3389,45.8267,9.5315
uniform,6,3,0.5000,55.4012,23.5530,7.4500,54.3613,54.5583,8.6447
uniform,6,4,0.6667,62.9636,24.7512,5.4288,59.0262,60.1232,7.1679
uniform,6,5,0.8333,65.3953,24.9032,5.1418,63.8288,66.4831,5.2473
uniform,7,1,0.1429,24.1593,12.8590,5.6592,29.9181,27.8954,4.9381
uniform,7,2,0.2857,40.9712,16.5900,7.3660,48.0131,43.8586,10.3794
uniform,7,3,0.4286,52.0290,21.4290,7.2043,52.4786,51.6328,9.4642
uniform,7,4,0.5714,60.1881,21.4723,7.1011,57.6865,57.6741,8.2878
uniform,7,5,0.7143,62.9680,22.6810,7.4702,59.0761,60.9671,8.1971
uniform,7,6,0.8571,64.4872,22.8205,7.0818,62.9098,66.5403,7.0078
uniform,8,1,0.1250,21.9287,10.2719,5.5460,28.1118,25.5329,4.6727
uniform,8,2,0.2500,38.8241,15.2373,8.0890,46.5357,41.1502,10.6409
uniform,8,3,0.3750,50.2592,18.3134,8.7500,51.6217,51.3295,10.8786
uniform,8,4,0.5000,58.9841,21.4354,8.6482,55.1207,56.7549,9.9445
uniform,8,5,0.6250,63.7747,20.8510,8.1198,60.5311,61.4946,9.0370
uniform,8,6,0.7500,66.0419,21.3472,7.0564,64.0120,64.8019,7.7215
uniform,8,7,0.8750,63.6692,23.3956,7.2512,63.1700,66.8186,7.2081
uniform,9,1,0.1111,21.0609,9.8357,5.3259,27.4219,24.6311,4.8627
uniform,9,2,0.2222,36.2032,13.6019,7.0524,43.4147,38.8144,9.9040
uniform,9,3,0.3333,48.2299,17.0574,8.4451,51.3653,49.6195,11.2595
uniform,9,4,0.4444,56.3763,19.5654,8.9643,54.0759,54.5402,10.9390
uniform,9,5,0.5556,61.9604,20.8215,9.6662,57.5271,59.0030,10.3441
uniform,9,6,0.6667,64.9064,21.2112,7.9468,61.8067,63.2056,9.6610
