r,N,C,C_over_N,mean_SA,sd_SA_within,mean_LA,mean_MA,cross_sd
-2.000,24,1,0.0417,-4.2508,1.0987,-3.7347,-3.8417,0.5193
-1.500,24,1,0.0417,-0.5201,1.3990,0.3111,0.1010,0.8245
-1.000,24,1,0.0417,3.6748,1.9224,4.9182,4.4763,1.2473
-0.500,24,1,0.0417,8.1972,2.4467,10.2878,9.3939,1.8768
0.000,24,1,0.0417,12.9793,3.0535,17.1596,14.6981,3.0164
0.500,24,1,0.0417,17.4592,3.5403,23.6205,19.3631,3.9303
1.000,24,1,0.0417,21.5106,3.9950,29.9514,23.4247,5.0258
1.500,24,1,0.0417,25.3367,4.2169,36.0498,27.4336,6.1447
-2.000,24,2,0.0833,-2.4253,0.8389,-2.0669,-2.1428,0.6501
-1.500,24,2,0.0833,2.5908,1.2831,2.6610,2.7182,1.0492
-1.000,24,2,0.0833,8.4264,2.1479,8.8784,8.7249,1.9393
-0.500,24,2,0.0833,14.9893,3.3041,17.1751,15.6305,3.3676
0.000,24,2,0.0833,21.5919,4.4620,27.7987,22.8711,5.5933
0.500,24,2,0.0833,27.5996,5.4825,39.6352,29.7306,8.5932
1.000,24,2,0.0833,33.5541,5.9275,51.4599,35.6032,11.4021
1.500,24,2,0.0833,39.2535,6.7239,63.9424,42.0775,14.7831
-2.000,24,3,0.1250,-1.6539,0.6198,-1.4635,-1.3828,0.5497
-1.500,24,3,0.1250,4.4684,1.1347,4.1474,4.4605,1.1455
-1.000,24,3,0.1250,11.2569,2.1150,10.8698,11.0931,2.0949
-0.500,24,3,0.1250,20.1281,3.8868,21.6210,20.2690,4.2518
0.000,24,3,0.1250,28.9534,5.5683,36.8414,30.0511,7.9475
0.500,24,3,0.1250,36.6127,6.9153,54.3720,38.3163,13.1996
1.000,24,3,0.1250,44.4003,8.0848,73.7177,46.9896,18.6907
1.500,24,3,0.1250,51.3067,8.8844,92.1556,55.0037,24.6763
-2.000,24,4,0.1667,-1.1099,0.4894,-1.0268,-0.9302,0.4677
-1.500,24,4,0.1667,5.2318,0.9946,4.7732,5.2536,1.0577
-1.000,24,4,0.1667,13.5444,2.0559,12.5475,13.0561,2.2891
-0.500,24,4,0.1667,23.6762,4.2670,24.4301,23.6548,4.9225
0.000,24,4,0.1667,34.9353,6.8279,43.3192,36.0116,9.8095
0.500,24,4,0.1667,44.1554,8.4647,63.5311,46.3221,15.7177
1.000,24,4,0.1667,53.9092,10.2979,90.5186,56.7274,24.5560
1.500,24,4,0.1667,63.0291,11.4713,117.9667,66.9682,33.5786
-2.000,24,5,0.2083,-0.6257,0.3738,-0.5471,-0.4581,0.3554
-1.500,24,5,0.2083,5.7035,0.7656,5.2283,5.6093,0.9260
-1.000,24,5,0.2083,14.4415,1.8831,13.1980,14.0008,2.1044
-0.500,24,5,0.2083,27.4583,4.2485,26.9166,27.1165,4.8956
0.000,24,5,0.2083,40.3301,7.6926,46.2114,40.7461,10.4301
0.500,24,5,0.2083,51.6502,10.1202,70.1726,53.8513,17.3091
1.000,24,5,0.2083,63.1805,11.9178,97.8961,66.3680,25.5735
1.500,24,5,0.2083,73.8912,13.6150,131.2313,77.9642,36.7463
-2.000,24,6,0.2500,-0.6720,0.3177,-0.6239,-0.5686,0.2923
-1.500,24,6,0.2500,5.8883,0.7127,5.5622,5.8083,0.7782
-1.000,24,6,0.2500,15.4857,1.8537,14.1501,15.0236,2.0358
-0.500,24,6,0.2500,29.8531,4.5208,28.2557,29.2555,5.0631
0.000,24,6,0.2500,44.4848,8.4871,49.9026,45.8575,11.2565
0.500,24,6,0.2500,58.0512,11.5792,74.0713,60.9973,18.2628
1.000,24,6,0.2500,71.0353,13.7474,104.4159,74.8910,27.1779
1.500,24,6,0.2500,84.5403,16.0571,141.1600,90.3025,37.8033
-2.000,24,7,0.2917,-0.6598,0.2702,-0.5824,-0.5985,0.2220
-1.500,24,7,0.2917,6.1417,0.7345,5.9330,6.0995,0.7202
-1.000,24,7,0.2917,15.6761,1.6915,14.4511,15.1991,1.8988
-0.500,24,7,0.2917,31.3872,4.6506,29.5276,30.4014,5.0637
0.000,24,7,0.2917,49.5909,9.4755,53.7856,50.8728,12.5320
0.500,24,7,0.2917,64.0199,12.7560,78.8814,66.5344,19.5719
1.000,24,7,0.2917,79.4598,15.6279,109.8161,85.8618,27.7209
1.500,24,7,0.2917,93.4618,17.9683,140.9833,99.4121,36.0604
-2.000,24,8,0.3333,-0.6916,0.2367,-0.6387,-0.6329,0.1953
-1.500,24,8,0.3333,6.5385,0.5853,6.3249,6.4710,0.6267
-1.000,24,8,0.3333,16.3496,1.6173,15.4707,15.9585,1.7760
-0.500,24,8,0.3333,33.1386,4.7305,31.3341,32.0799,4.9883
0.000,24,8,0.3333,53.0139,10.6528,55.8411,53.9813,12.9223
0.500,24,8,0.3333,70.1185,13.9484,84.9297,74.0140,21.1662
1.000,24,8,0.3333,87.1617,17.5576,114.2475,93.4138,28.8863
1.500,24,8,0.3333,102.4422,19.4396,146.5673,111.8114,36.7905
-2.000,24,9,0.3750,-0.5937,0.1844,-0.5577,-0.5676,0.1533
-1.500,24,9,0.3750,6.5704,0.6004,6.4512,6.5442,0.5595
-1.000,24,9,0.3750,16.5160,1.6558,15.8929,16.1983,1.6339
-0.500,24,9,0.3750,33.8055,4.5933,31.5875,32.8960,4.9460
0.000,24,9,0.3750,55.9967,10.8453,57.9433,56.8720,13.0259
0.500,24,9,0.3750,75.3895,15.4270,88.9279,81.1984,22.4699
1.000,24,9,0.3750,92.8911,18.9340,117.9410,100.7053,30.2534
1.500,24,9,0.3750,111.1663,21.7841,150.8566,123.6098,38.0864
-2.000,24,10,0.4167,-0.1608,0.2167,-0.1101,-0.1397,0.1764
-1.500,24,10,0.4167,6.2983,0.5524,6.2185,6.2469,0.5110
-1.000,24,10,0.4167,16.8348,1.4673,16.0348,16.5144,1.5241
-0.500,24,10,0.4167,34.6219,4.5941,32.9860,33.9292,4.7519
0.000,24,10,0.4167,59.4591,11.1253,60.5675,59.8856,13.1430
0.500,24,10,0.4167,80.3427,17.0254,91.1723,86.3342,22.6318
1.000,24,10,0.4167,98.9635,20.8412,119.6681,109.5060,31.3755
1.500,24,10,0.4167,118.0991,23.6346,154.5501,133.7066,39.1917
-2.000,24,11,0.4583,-0.4781,0.1914,-0.4412,-0.4765,0.1510
-1.500,24,11,0.4583,6.4394,0.5092,6.4346,6.3828,0.4453
-1.000,24,11,0.4583,16.7698,1.4663,16.2516,16.6296,1.3956
-0.500,24,11,0.4583,35.1626,4.6555,33.3949,34.4709,4.6953
0.000,24,11,0.4583,61.7609,12.0518,62.3227,62.0362,13.4160
0.500,24,11,0.4583,86.9002,19.3030,92.9659,90.4242,23.1101
1.000,24,11,0.4583,107.7411,24.8055,123.0441,118.0530,31.4977
1.500,24,11,0.4583,129.8695,30.4973,160.3452,145.5918,41.5534
-2.000,24,12,0.5000,-0.5098,0.1695,-0.4780,-0.5158,0.1399
-1.500,24,12,0.5000,6.2932,0.4604,6.2835,6.2411,0.4246
-1.000,24,12,0.5000,16.8414,1.4594,16.6211,16.7542,1.3796
-0.500,24,12,0.5000,35.4402,4.8192,34.1382,34.7305,4.6170
0.000,24,12,0.5000,64.0499,12.3464,64.1027,64.6099,13.7231
0.500,24,12,0.5000,91.5629,20.9760,96.4933,94.1053,23.5660
1.000,24,12,0.5000,115.1555,27.3243,127.5580,124.9115,33.1955
1.500,24,12,0.5000,139.0456,33.7300,161.2159,151.0169,42.0870
-2.000,24,13,0.5417,-0.4357,0.1546,-0.3928,-0.4322,0.1255
-1.500,24,13,0.5417,6.4695,0.4811,6.4410,6.3882,0.4403
-1.000,24,13,0.5417,17.0473,1.4106,17.0216,17.0823,1.2548
-0.500,24,13,0.5417,35.6897,4.5427,34.2849,35.2142,4.4755
0.000,24,13,0.5417,67.6598,12.9598,65.1000,66.1781,13.7130
0.500,24,13,0.5417,95.4254,21.0499,94.9584,96.5559,23.2127
1.000,24,13,0.5417,118.7059,27.0345,127.6511,124.5186,31.7864
1.500,24,13,0.5417,144.1791,34.8428,164.9636,157.1590,41.8310
-2.000,24,14,0.5833,-0.2759,0.1589,-0.2421,-0.2710,0.1132
-1.500,24,14,0.5833,6.4883,0.4924,6.5172,6.4680,0.4102
-1.000,24,14,0.5833,16.9681,1.4367,16.8673,16.9166,1.2347
-0.500,24,14,0.5833,35.7914,4.8029,35.1776,35.7549,4.5955
0.000,24,14,0.5833,68.7301,12.8012,66.1300,66.8160,13.2905
0.500,24,14,0.5833,100.3551,20.6652,98.1361,98.6254,22.1243
1.000,24,14,0.5833,124.8742,28.9450,131.1506,131.0289,32.1404
1.500,24,14,0.5833,151.6625,34.7977,166.2315,164.0093,40.8581
-2.000,24,15,0.6250,-0.3885,0.1583,-0.3264,-0.3604,0.1093
-1.500,24,15,0.6250,6.4799,0.5436,6.5837,6.4470,0.4391
-1.000,24,15,0.6250,17.1779,1.4350,17.1168,17.1490,1.1673
-0.500,24,15,0.6250,35.9953,4.5163,35.7698,36.4503,4.1212
