regime,N,C,C_over_N,SA,SA_se,LA,LA_se,gap,gap_se
uniform,20,1,0.0500,14.0894,0.1086,18.5151,0.1339,4.4258,0.0900
uniform,20,2,0.1000,23.6561,0.1433,30.4940,0.2263,6.8379,0.1977
uniform,20,3,0.1500,31.3281,0.1746,39.3227,0.3125,7.9947,0.2928
uniform,20,4,0.2000,38.1036,0.2029,45.0074,0.3701,6.9038,0.3399
uniform,20,5,0.2500,43.6384,0.2362,49.8538,0.4134,6.2155,0.3640
uniform,20,6,0.3000,49.2180,0.2700,52.2553,0.4128,3.0374,0.3774
uniform,20,7,0.3500,54.0143,0.3142,56.0658,0.4523,2.0514,0.4156
uniform,20,8,0.4000,57.9661,0.3176,58.0199,0.4337,0.0539,0.3947
uniform,20,9,0.4500,61.1525,0.3376,61.3525,0.4450,0.2000,0.3944
uniform,20,10,0.5000,65.3714,0.3630,63.1091,0.4453,-2.2622,0.3960
uniform,20,11,0.5500,65.7844,0.3735,63.5937,0.4347,-2.1907,0.3829
uniform,20,12,0.6000,68.6522,0.3856,64.9913,0.4261,-3.6609,0.3994
uniform,20,13,0.6500,69.2571,0.3904,66.2947,0.4156,-2.9623,0.3689
uniform,20,14,0.7000,70.5928,0.3892,68.0510,0.4037,-2.5417,0.3648
uniform,20,15,0.7500,70.4057,0.4024,69.0520,0.4001,-1.3537,0.3728
uniform,20,16,0.8000,71.9277,0.4060,69.4706,0.3920,-2.4572,0.3469
uniform,20,17,0.8500,71.3022,0.4065,70.2744,0.3853,-1.0278,0.3400
uniform,20,18,0.9000,71.8274,0.4194,71.6479,0.3719,-0.1795,0.3316
uniform,20,19,0.9500,71.1374,0.4405,72.1962,0.3648,1.0589,0.3139
allpos,20,1,0.0500,34.4408,0.0543,37.9811,0.0695,3.5402,0.0540
allpos,20,2,0.1000,40.4432,0.0731,47.2366,0.1349,6.7934,0.1258
allpos,20,3,0.1500,45.4956,0.0905,55.2152,0.2211,9.7196,0.2099
allpos,20,4,0.2000,49.8341,0.1057,59.7518,0.2613,9.9177,0.2456
allpos,20,6,0.3000,57.3559,0.1482,65.1042,0.3052,7.7482,0.2876
allpos,20,8,0.4000,63.8765,0.1827,69.3031,0.3096,5.4265,0.3069
allpos,20,10,0.5000,70.6033,0.2246,72.1052,0.3147,1.5019,0.3107
allpos,20,12,0.6000,75.0719,0.2377,73.3055,0.2924,-1.7664,0.3025
allpos,20,14,0.7000,78.2665,0.2440,75.6229,0.2822,-2.6436,0.2847
allpos,20,16,0.8000,79.7050,0.2652,76.8002,0.2768,-2.9049,0.2641
allpos,20,18,0.9000,80.6468,0.2772,78.3162,0.2503,-2.3305,0.2594
allpos,20,19,0.9500,80.3991,0.2934,79.2617,0.2413,-1.1374,0.2505
signed,20,1,0.0500,-10.8660,0.0540,-4.7038,0.0781,6.1621,0.0677
signed,20,2,0.1000,-2.9981,0.0708,11.2029,0.1570,14.2011,0.1506
signed,20,3,0.1500,4.1002,0.0890,27.0508,0.2802,22.9506,0.2713
signed,20,4,0.2000,10.7794,0.1172,40.1712,0.3806,29.3919,0.3655
signed,20,6,0.3000,22.4330,0.1551,48.2539,0.4271,25.8209,0.4075
signed,20,8,0.4000,33.3068,0.1927,52.5493,0.4204,19.2424,0.4207
signed,20,10,0.5000,43.7638,0.2752,56.2730,0.4447,12.5092,0.4616
signed,20,12,0.6000,51.3888,0.2998,59.5022,0.4410,8.1134,0.4739
signed,20,14,0.7000,60.7827,0.3400,64.0599,0.4060,3.2772,0.4359
signed,20,16,0.8000,69.0682,0.3413,67.8874,0.3646,-1.1808,0.3984
signed,20,18,0.9000,74.7354,0.3407,70.8350,0.3284,-3.9004,0.3743
signed,20,19,0.9500,75.5425,0.3608,72.7332,0.3133,-2.8093,0.3459
leontief,20,1,0.0500,-3.4346,0.0714,-3.0670,0.0710,0.3676,0.0085
leontief,20,2,0.1000,-1.2513,0.0657,-0.4424,0.0646,0.8090,0.0120
leontief,20,3,0.1500,-0.3758,0.0654,0.0321,0.0653,0.4079,0.0097
leontief,20,4,0.2000,0.0395,0.0664,0.1439,0.0662,0.1044,0.0061
leontief,20,6,0.3000,0.3023,0.0683,0.2230,0.0686,-0.0794,0.0048
leontief,20,8,0.4000,0.2974,0.0659,0.2388,0.0660,-0.0587,0.0034
leontief,20,10,0.5000,0.3502,0.0655,0.3174,0.0655,-0.0327,0.0021
leontief,20,12,0.6000,0.3092,0.0669,0.2897,0.0669,-0.0195,0.0013
leontief,20,14,0.7000,0.4477,0.0676,0.4366,0.0676,-0.0111,0.0010
leontief,20,16,0.8000,0.3835,0.0666,0.3788,0.0666,-0.0047,0.0005
leontief,20,18,0.9000,0.3740,0.0645,0.3729,0.0645,-0.0011,0.0003
leontief,20,19,0.9500,0.4642,0.0645,0.4641,0.0645,0.0000,0.0000
