regime,N,C,C_over_N,SA,SA_se,LA,LA_se,gap,gap_se
uniform,10,1,0.1000,19.8150,0.2296,25.1864,0.2838,5.3712,0.1781
uniform,10,2,0.2000,33.5843,0.3225,41.3603,0.4834,7.7760,0.3977
uniform,10,3,0.3000,45.3377,0.3894,49.1858,0.5410,3.8483,0.4563
uniform,10,4,0.4000,54.7628,0.4536,55.1381,0.5796,0.3754,0.4649
uniform,10,5,0.5000,60.8204,0.5235,57.4854,0.5762,-3.3350,0.4084
uniform,10,6,0.6000,64.6171,0.5494,60.7163,0.5694,-3.9008,0.4019
uniform,10,7,0.7000,68.4098,0.5313,64.7447,0.5398,-3.6651,0.3798
uniform,10,8,0.8000,67.6357,0.5577,65.0848,0.5309,-2.5509,0.3587
uniform,10,9,0.9000,69.0133,0.5709,67.3365,0.5226,-1.6768,0.3073
uniform,20,1,0.0500,14.0894,0.1086,18.5151,0.1339,4.4258,0.0900
uniform,20,2,0.1000,23.6561,0.1433,30.4940,0.2263,6.8379,0.1977
uniform,20,3,0.1500,31.3281,0.1746,39.3227,0.3125,7.9947,0.2928
uniform,20,4,0.2000,38.1036,0.2029,45.0074,0.3701,6.9038,0.3399
uniform,20,5,0.2500,43.6384,0.2362,49.8538,0.4134,6.2155,0.3640
uniform,20,6,0.3000,49.2180,0.2700,52.2553,0.4128,3.0374,0.3774
uniform,20,7,0.3500,54.0143,0.3142,56.0658,0.4523,2.0514,0.4156
uniform,20,8,0.4000,57.9661,0.3176,58.0199,0.4337,0.0539,0.3947
uniform,20,9,0.4500,61.1525,0.3376,61.3525,0.4450,0.2000,0.3944
uniform,20,10,0.5000,65.3714,0.3630,63.1091,0.4453,-2.2622,0.3960
uniform,20,11,0.5500,65.7844,0.3735,63.5937,0.4347,-2.1907,0.3829
uniform,20,12,0.6000,68.6522,0.3856,64.9913,0.4261,-3.6609,0.3994
uniform,20,13,0.6500,69.2571,0.3904,66.2947,0.4156,-2.9623,0.3689
uniform,20,14,0.7000,70.5928,0.3892,68.0510,0.4037,-2.5417,0.3648
uniform,20,15,0.7500,70.4057,0.4024,69.0520,0.4001,-1.3537,0.3728
uniform,20,16,0.8000,71.9277,0.4060,69.4706,0.3920,-2.4572,0.3469
uniform,20,17,0.8500,71.3022,0.4065,70.2744,0.3853,-1.0278,0.3400
uniform,20,18,0.9000,71.8274,0.4194,71.6479,0.3719,-0.1795,0.3316
uniform,20,19,0.9500,71.1374,0.4405,72.1962,0.3648,1.0589,0.3139
uniform,30,1,0.0333,11.7465,0.0729,15.5661,0.0867,3.8197,0.0577
uniform,30,2,0.0667,19.6147,0.0901,25.6676,0.1474,6.0530,0.1288
uniform,30,3,0.1000,26.0373,0.1090,32.8773,0.1955,6.8399,0.1778
uniform,30,4,0.1333,31.5339,0.1316,39.5291,0.2640,7.9952,0.2461
uniform,30,5,0.1667,35.9066,0.1455,43.3579,0.2808,7.4514,0.2673
uniform,30,6,0.2000,40.0705,0.1622,47.1292,0.3119,7.0587,0.3016
uniform,30,8,0.2667,47.4486,0.1981,52.5535,0.3605,5.1049,0.3328
uniform,30,10,0.3333,53.4781,0.2272,57.2249,0.3788,3.7468,0.3600
uniform,30,12,0.4000,59.1414,0.2534,61.4934,0.3785,2.3518,0.3720
uniform,30,15,0.5000,65.2419,0.3140,64.3193,0.3979,-0.9226,0.3617
uniform,30,18,0.6000,69.6205,0.3269,67.4861,0.3719,-2.1345,0.3688
uniform,30,21,0.7000,71.4524,0.3347,69.7309,0.3560,-1.7215,0.3568
uniform,30,24,0.8000,72.8967,0.3425,72.7380,0.3508,-0.1586,0.3463
uniform,30,29,0.9667,72.8624,0.3766,75.2056,0.3081,2.3432,0.3044
uniform,40,1,0.0250,10.5711,0.0506,13.9747,0.0626,3.4036,0.0457
uniform,40,2,0.0500,17.3416,0.0649,22.5552,0.1007,5.2135,0.0896
uniform,40,3,0.0750,22.6629,0.0815,29.6092,0.1513,6.9463,0.1400
uniform,40,4,0.1000,27.5565,0.0959,35.2694,0.2009,7.7128,0.1918
uniform,40,6,0.1500,35.5947,0.1230,43.4267,0.2537,7.8320,0.2468
uniform,40,8,0.2000,41.5349,0.1408,48.3452,0.2868,6.8103,0.2843
uniform,40,10,0.2500,47.1284,0.1628,52.4450,0.3104,5.3168,0.3025
uniform,40,13,0.3250,53.6110,0.1906,58.3152,0.3398,4.7042,0.3265
uniform,40,16,0.4000,60.0511,0.2345,62.6235,0.3396,2.5725,0.3449
uniform,40,20,0.5000,66.0430,0.2725,66.4628,0.3432,0.4198,0.3456
uniform,40,26,0.6500,72.0832,0.2920,70.2090,0.3311,-1.8741,0.3372
uniform,40,32,0.8000,73.2559,0.3186,73.4970,0.3069,0.2412,0.3305
uniform,40,39,0.9750,72.9466,0.3222,77.0234,0.2753,4.0767,0.2825
